CantonName,Canton,CantonNumericCode,,
 Aargau,AG,19,,
 Appenzell Innerrhoden,AI,15,,
 Appenzell Ausserrhoden,AR,16,,
 Berne,BE,2,,
 Basel-Landschaft,BL,13,,
 Basel-Stadt,BS,12,,
 Fribourg,FR,10,,
 Geneva,GE,25,,
 Glarus,GL,8,,
 Grisons,GR,18,,
 Jura,JU,26,,
 Lucerne,LU,3,,
 Neuchâtel,NE,24,,
 Nidwalden,NW,7,,
 Obwalden,OW,6,,
 St. Gallen,SG,17,,
 Schaffhausen,SH,14,,
 Solothurn,SO,11,,
 Schwyz,SZ,5,,
 Thurgau,TG,20,,
 Ticino,TI,21,,
 Uri,UR,4,,
 Vaud,VD,22,,
 Valais,VS,23,,
 Zug,ZG,9,,
 Zürich,ZH,1,,
